TreeID,TreePosX(meter),TreePosY(meter),TreePosZ(meter),Tree Height(meter),DBH(meter),Crown Diameter(meter),Crown Diameter(S-N)(meter),Crown Diameter(E-W)(meter),Crown Area(square meter),Crown Volume(cubic meter),CBH(meter),Altitude(meter),Old Tree ID
134,531919.421,489227.961,1.3,4,0.212,26.1,27.7,24.6,313.1,1391.4,3.2,900,130
135,531903.054,489138.682,1.3,7.6,0.101,8.2,8.6,7.8,46,98.4,1.4,885.6,110
136,531643.524,488997.348,1.3,11.8,0.103,11.2,10.7,11.8,84.9,279.5,6.8,911.6,158
137,531929.013,489211.98,1.3,5.5,0.33,20,15,26.7,266,992.5,3.2,901,116
138,531872.831,489249.696,1.3,19.9,0.275,39.4,40.3,38.6,1098,7777.3,6.2,898.7,125
139,531628.84,489056.894,1.3,30.9,0.291,18.1,17.7,18.5,232.1,2326.8,24.5,913.8,177
140,531669.372,489053.889,3.171,3.2,0,2.7,3,2.5,5.2,10.1,3.2,937.1,146
141,531654.101,489047.336,1.3,25.3,0.153,38.8,36.3,41.4,1083.2,17407.4,13.1,915.5,175
142,531611.416,489033.503,3.198,2,0,5.9,3.9,8.9,24.4,52.7,3.2,900.2,148
143,531918.248,489224.578,1.3,2.8,0.163,2.6,3.3,2,4,7,2.7,909.6,128
144,531665.659,489056.997,1.3,17.3,0.244,22.1,18.2,26.9,347.2,3031.2,11.7,932.3,142
145,531875.09,489140.506,1.3,4.4,0.44,33.1,35.2,31.1,811.4,5919,11.4,898.5,119
146,531638.397,488984.24,24.865,21.6,0,15.2,13,17.8,160.5,883.3,12,906.1,160
147,531894.014,489230.242,1.3,6.4,0.227,26,22.8,29.6,466.9,2120.4,2,900,127
148,531625.04,489061.231,1.941,1.9,0,3.6,5.5,2.3,7.4,7.4,1.9,911.7,135
149,531675.704,489053.325,1.3,5.7,0.072,11.7,14.5,9.5,93.8,245.9,2.7,931.8,179
150,531673.235,489059.619,1.3,20.1,0.32,21.3,20.7,21.9,313.1,2664,12.9,939.3,166
151,531674.032,488997.964,1.3,3.9,0.7,7.4,9.2,6,39.3,78.6,1.6,904.4,176
152,531615.987,489013.685,1.3,3.4,0.136,21.4,16.3,28,265.6,567.1,3.6,891.2,168
153,531648.169,489076.393,1.3,4.7,0.157,72.2,63.7,81.8,3820.7,13096.1,22.7,878.5,131
154,531608.29,489039.325,1.3,3.4,0.412,12,6.9,21,101.8,163.9,2.9,897.5,149
155,531642.474,489069.145,8.453,2.5,0,16.6,17,16.3,168.5,529.4,3.1,915.5,132
156,531599.414,488980.96,1.3,8.4,0.043,25,19.4,32.2,420.8,1031.8,3.3,884.3,164
157,531666,489059.518,1.3,13.9,0.278,6.6,7.4,5.9,34.1,112.1,11.5,938,139
158,531671.686,489054.859,1.3,16.2,0.214,8.7,10.5,7.2,57.2,254.7,12.5,934.6,144
159,531699.4,489120.669,1.3,23.5,0.152,40.2,32.1,50.3,1057.4,5032.9,20.1,911.7,202
160,531583.551,489016.819,1.3,7.4,0.162,34.1,27.3,42.5,704,3386.9,3.5,882,181
161,531622.811,489048.75,1.3,18.7,0.334,9.5,9.1,10,56.7,174.2,18.4,911,182
162,531622.791,489046.052,1.3,13.2,0.142,23.1,17.1,31.2,390.3,2094.9,13.3,903.6,186
163,531602.369,489039.674,4.229,4,0,8.8,5.4,14.5,58,139.1,1.3,892.2,147
164,531648.52,489007.795,1.3,14.6,0.217,8.6,7,10.6,50.6,178.5,7.9,914.8,155
165,531670.753,489066.55,1.3,24.5,0.165,13.8,15,12.7,143.8,1158.2,14.2,939.8,133
166,531666.913,488980.022,1.3,12.6,0.183,15.3,12.2,19.2,166.7,239.8,5.6,899.1,172
167,531588.671,489061.842,8.936,1.8,0,38.6,20.7,71.9,916.1,3664.3,2.2,885.3,145
168,531645.161,489010.698,1.3,23.2,0.326,25.6,26.6,24.7,468.6,3471.6,16.5,907,153
169,531816.477,489076.886,1.3,2.7,0.117,9.5,10.7,8.5,63,131.4,1.4,901.1,206
170,531625.689,489040.396,1.3,29.7,0.088,25.2,28.7,22.2,437.4,2783.1,17,899.1,183
